team,player_name
MI,Siddharth Chitnis
MI,Saurabh Tiwary
MI,Manish Pandey
MI,Robin Uthappa
MI,Abhishek Nayar
MI,Dwayne Bravo
MI,Dwayne Smith
MI,Harbhajan Singh
MI,Swapnil Singh
MI,Lasith Malinga
MI,Dhawal Kulkarni
MI,Ashish Nehra
MI,Shikhar Dhawan
MI,Ryan McLaren
MI,JP Duminy
MI,Zaheer Khan
MI,Aditya Tare
MI,Ambati Rayudu
MI,Rajagopal Sathish
MI,Quinton de Kock
MI,Kieron Pollard
MI,Stuart Binny
MI,Rahul Shukla
MI,Abu Nechim
MI,Ali Murtaza
MI,Davy Jacobs
MI,Aiden Blizzard
MI,Rohit Sharma
MI,Hardik Pandya
MI,Surya Kumar Yadav
MI,Tirumalasetti Suman
MI,Moises Henriques
MI,James Franklin
MI,Clint McKay
MI,Munaf Patel
MI,Pawan Suyal
MI,Yuzvendra Chahal
MI,Dinesh Karthik
MI,Herschelle Gibbs
MI,Kuldeep Yadav
MI,Pragyan Ojha
MI,RP Singh
MI,Ricky Ponting
MI,Rishi Dhawan
MI,Mitchell Johnson
MI,Axar Patel
MI,Glenn Maxwell
MI,Jacob Oram
MI,Jalaj Saxena
MI,Nathan Coulter-Nile
MI,Jasprit Bumrah
MI,Ben Dunk
MI,Chidhambaram Gautam
MI,Lendl Simmons
MI,Michael Hussey
MI,Corey Anderson
MI,Shreyas Gopal
MI,Marchant De Lange
MI,Praveen Kumar
MI,Krishmar Santokie
MI,Josh Hazlewood
MI,Colin Munro
MI,Aaron Finch
MI,Parthiv Patel
MI,Siddhesh Lad
MI,Unmukt Chand
MI,Alex Hales
MI,Ben Hilfenhaus
MI,Abhimanyu Mithun
MI,Mitchell McClenaghan
MI,Vinay Kumar
MI,Jagadeesha Suchith
MI,Jitesh Sharma
MI,Jos Buttler
MI,Martin Guptill
MI,Nitish Rana
MI,Nathu Singh
MI,Tim Southee
MI,Nicholas Pooran
MI,Karn Sharma
MI,Kulwant Khejroliya
MI,Ishan Kishan
MI,Evin Lewis
MI,Tajinder Singh
MI,Anukul Roy
MI,Akila Dananjaya
MI,Ben Cutting
MI,Mayank Markande
MI,Mohsin Khan
MI,Adam Milne
MI,Rahul Chahar
MI,Mustafizur Rahman
MI,Jayant Yadav
MI,Yuvraj Singh
MI,Pankaj Jaswal
MI,Beuran Hendricks
MI,Alzarri Joseph
MI,Jason Behrendorff
MI,Barinder Sran
MI,Rasikh Salam
MI,Chris Lynn
MI,Sherfane Rutherford
MI,Prince Balwant Rai Singh
MI,Digvijay Deshmukh
MI,James Pattinson
MI,Trent Boult
MI,Roosh Kalaria
MI,Jimmy Neesham
MI,Yudhvir Singh Charak
MI,Marco Jansen
MI,Arjun Tendulkar
MI,Piyush Chawla
MI,Simarjeet Singh
MI,Dewald Brevis
MI,N Tilak Varma
MI,Sanjay Yadav
MI,Tristan Stubbs
MI,Daniel Sams
MI,Fabian Allen
MI,Mohd Arshad Khan
MI,Ramandeep Singh
MI,Tim David
MI,Hrithik Shokeen
MI,Jofra Archer
MI,Basil Thampi
MI,Jaydev Unadkat
MI,Murugan Ashwin
MI,Riley Meredith
MI,Tymal Mills
MI,Kumar Kartikeya Singh
MI,Akash Madhwal
MI,Cameron Green
MI,Nehal Wadhera
MI,Vishnu Vinod
MI,Shams Mulani
MI,Duan Jansen
MI,Chris Jordan
MI,Jhye Richardson
MI,Sandeep Warrier
MI,Raghav Goyal
MI,Harvik Desai
MI,Mohammad Nabi
MI,Romario Shepherd
MI,Anshul Kamboj
MI,Naman Dhir
MI,Shivalik Sharma
MI,Kwena Maphaka
MI,Luke Wood
MI,Gerald Coetzee
MI,Dilshan Madushanka
MI,Nuwan Thushara
MI,Robin Minz
MI,Shrijith Krishnan
MI,Bevon Jacobs
MI,Jonny Bairstow
MI,Raj Angad Bawa
MI,Mitchell Santner
MI,Ashwani Kumar
MI,Reece Topley
MI,V Satyanarayana Penmetsa
MI,Deepak Chahar
MI,Mujeeb Ur Rahman
MI,Raghu Sharma
MI,Charith Asalanka
MI,Richard Gleeson
MI,Ryan Rickelton
MI,Danish Malewar
MI,Atharva Ankolekar
MI,Mayank Rawat
MI,Corbin Bosch
MI,Will Jacks
MI,Shardul Thakur
PBKS,Kumar Sangakkara
PBKS,Nitin Saini
PBKS,Sunny Sohal
PBKS,Tanmay Srivastava
PBKS,Luke Pomersbach
PBKS,Mahela Jayawardene
PBKS,Shaun Marsh
PBKS,Yuvraj Singh
PBKS,Rishi Dhawan
PBKS,Irfan Pathan
PBKS,Brett Lee
PBKS,Piyush Chawla
PBKS,Ramesh Powar
PBKS,Shanthakumaran Sreesanth
PBKS,Manvinder Bisla
PBKS,Mohammad Kaif
PBKS,Bipul Sharma
PBKS,Ravi Bopara
PBKS,Shalabh Srivastava
PBKS,Vikramjeet Malik
PBKS,Juan Theron
PBKS,Adam Gilchrist
PBKS,Dinesh Karthik
PBKS,Mandeep Singh
PBKS,Paras Dogra
PBKS,Paul Valthaty
PBKS,Siddharth Chitnis
PBKS,Sunny Singh
PBKS,David Miller
PBKS,Abhishek Nayar
PBKS,Ryan McLaren
PBKS,David Hussey
PBKS,Dimitri Mascarenhas
PBKS,Bhargav Bhatt
PBKS,Praveen Kumar
PBKS,Nathan Rimmington
PBKS,Ryan Harris
PBKS,Gurkeerat Mann Singh
PBKS,James Faulkner
PBKS,Azhar Mahmood
PBKS,Harmeet Singh Bansal
PBKS,Rajagopal Sathish
PBKS,Kyle Abbott
PBKS,Parvinder Awana
PBKS,Manan Vohra
PBKS,Michael Neser
PBKS,Aniket Choudhary
PBKS,Sandeep Sharma
PBKS,Manpreet Gony
PBKS,George Bailey
PBKS,Wriddhiman Saha
PBKS,Virender Sehwag
PBKS,Cheteshwar Pujara
PBKS,Karanveer Singh
PBKS,Shivam Sharma
PBKS,Shardul Thakur
PBKS,Mitchell Johnson
PBKS,Thisara Perera
PBKS,Axar Patel
PBKS,Glenn Maxwell
PBKS,Lakshmipathy Balaji
PBKS,Beuran Hendricks
PBKS,Anureet Singh
PBKS,Murali Kartik
PBKS,Nikhil Naik
PBKS,Murali Vijay
PBKS,Hashim Amla
PBKS,Farhaan Behardien
PBKS,Pradeep Sahu
PBKS,Marcus Stoinis
PBKS,Swapnil Singh
PBKS,Mohit Sharma
PBKS,KC Cariappa
PBKS,Eoin Morgan
PBKS,Martin Guptill
PBKS,Rinku Singh
PBKS,Rahul Tewatia
PBKS,Matt Henry
PBKS,Ishant Sharma
PBKS,T Natarajan
PBKS,Varun Aaron
PBKS,KL Rahul
PBKS,Aaron Finch
PBKS,Karun Nair
PBKS,Manoj Tiwary
PBKS,Mayank Agarwal
PBKS,Ravichandran Ashwin
PBKS,Ben Dwarshuis
PBKS,Akshdeep Nath
PBKS,Chris Gayle
PBKS,Mayank Dagar
PBKS,Andrew Tye
PBKS,Ankit Rajpoot
PBKS,Barinder Sran
PBKS,Mujeeb Ur Rahman
PBKS,Prabhsimran Singh
PBKS,Nicholas Pooran
PBKS,Sarfaraz Khan
PBKS,Harpreet Brar
PBKS,Moises Henriques
PBKS,Sam Curran
PBKS,Darshan Nalkande
PBKS,Agnivesh Ayachi
PBKS,Murugan Ashwin
PBKS,Varun Chakaravarthy
PBKS,Arshdeep Singh
PBKS,Hardus Viljoen
PBKS,Jimmy Neesham
PBKS,Tajinder Singh
PBKS,Deepak Hooda
PBKS,Krishnappa Gowtham
PBKS,Ishan Porel
PBKS,Chris Jordan
PBKS,Ravi Bishnoi
PBKS,Sheldon Cottrell
PBKS,Jagadeesha Suchith
PBKS,Aiden Markram
PBKS,Dawid Malan
PBKS,Utkarsh Singh
PBKS,Shahrukh Khan
PBKS,Fabian Allen
PBKS,Saurabh Kumar
PBKS,Jalaj Saxena
PBKS,Jhye Richardson
PBKS,Riley Meredith
PBKS,Adil Rashid
PBKS,Nathan Ellis
